あいじょう	愛情	爱情，爱慕
アイスクリーム		冰激凌
あえん	亜鉛	锌
あお	青	单词
あか	赤	红（色）
あかちゃん	赤ちゃん	婴儿
あきれる	呆れる	吃惊
アクセント		重音，音调
あくまで	飽くまで	彻底，始终，到底
あけたて	開け閉て	开关，开闭
あす	明日	明天,未来,(不久的)将来
あてな	宛名	收件人的姓名（和地址）
あてはまる	当てはまる	适用，适合
あながち		未必，不一定
あびる	浴びる	浇，淋，浴，照
あびせる	浴びせる	浇，淋
あまり	余り	...多,...余
あらし	嵐	暴风雨
あらためて	改めて	重新，再次
アラビア		阿拉伯
ありかた	在り方	应有的状况，理想的状态
あんずる	案ずる	担心，挂念
あんてい	安定	安定，稳定
あんないしょ	案内書	指南书，导游手册
い	胃	胃
いがい	意外	意外
いぎ	意義	意义,(某种行为的)价值
いきおい	勢い	气势,势头
いきかた	生き方	生活方式,生活准则
いきどおり	憤り	愤怒,愤慨
いきもの	生き物	生物,活的东西
いざというとき		紧急之时
いしき	意識	意识，自觉，觉悟
いじょう	異常	异常，反常
いためる	傷める	损坏，损伤
いたる	至る	至，至于，达到
いちいち		一（个），一（个），都
いちおう	一応	大至，大体
いちかばちか	一か八か	碰运气，听天由命
いちだん	一段	更加，越发
いっしゅん	一瞬	一瞬，瞬间
いったい	一体	究意，到底
いったい	一体	一体，同心协力
いってい	一定	一定，固定，统一
いっぽう(で)	一方	另一方面
いど	井戸	井，水井
いどう（する）	移動	移动，转移
いま	居間	起居室
いや		不，否
いやがる	嫌がる	嫌，讨厌
いらい	以来	以来，今后
いりょうはん	医療班	医务组
いれもの	入れ物	容器，器皿
いわば		可以说，说起来
いんしょう	印象	印象
うかべる	浮かべる	使．．．浮起，露出
うちがわ	内側	里面，内侧
うっかり		疏忽，漫不经心
うったえる	訴える	申诉，控诉
うでどけい	腕時計	手表
うなずく		点头，首肯
うる	得る	（接动词连用形后）能，可以
うん	運	命运，时运
えがく	描く	画，描写
えきまえ	駅前	站前
エネルギー		能，能量，精力
IC		集成电路
えんちょう	延長	延长，延伸，延长部分
おい		喂，嘿
おえる	終える	做完，结束
おお	大	大．．．，广．．．
おおう	覆う	覆盖，蒙上
おぎなう	補う	补充，补尝
おける		在
おごり		骄傲，傲慢
おちつく	落ち着く	沉着，镇静，稳定
おどり	踊り	舞蹈，跳舞
おねがい（する）	お願い	请求，恳求
おもいがけない	思いがけない	出乎意料的，意外的
おもいつく	思い付く	想出来，想起来
おもいやり	思いやり	体谅，关怀
おもさ	重さ	重量，分量
おもんずる	重んずる	注重，重视
おやすみなさい		请休息吧
およそ		大概，大约
おれ		我，俺
おん	恩	恩，恩情
おんし	恩师	恩师
か	化	...化
かい	回	...次，...回
かいがい	海外	海处，国外
かいせつ	解説	解说，说明
かいてん	回転	旋转，转动
がいぶ	外部	外部
かえって		反而，相反地
かえる	替える	替换，更换
かかわる		有关，关系到
かぎり		限度，极限
かぐ	家具	家具
かくう	架空	架空，空想
かくご	覚悟	觉悟，下决心
がくしゃ	学者	学者
かくす	隠す	遮盖
がくぶ	学部	（综合大学）学院系
かげ	影	影子，影像
かけがえ		代替的人
かけつける	駆けつける	跑到，赶到
かげもかたちもない	影も形もない	无影无踪
かけら		碎片
かげん	加減	调整，调节
カセット		盒式录音磁带
かた	型	型
かたい	硬い	硬，生硬
かたどる		模仿，仿照
かたまり	塊	块，堆，群
がち		常常，容易
がっき	学期	学期
かっと		(阳光)炽烈
かつよう（する）	活用	充分利用
カナダ		加拿大
カナヘビ		草蜥
かねつ	加熱	加热
かのう	可能	可能
かのうせい	可能性	可能性
かもしれない		也许，也未可知
かりに	仮に	假设，即使
かる	刈る	割，剪
かわす		躲开，躲闪
かん	管	管(子)，管道
かんきょう	環境	环境
かんじょう	勘定	计算，估算
かんしん	関心	关心，感兴趣
かんれん	関連	关连，相关
き	機	机械
きおん	気温	气温
ぎかい	議会	议会，国会
きかえる	着替える	换衣服
きかせる	聞かせる	使...听
きじゅん	基準	基准，标准
きづく	気付く	察觉，发现
きのう	機能	机能，功能
きばん	基板	基片，基底
きほん	基本	基本
きまり	決まり	决定，规定
きむずかしい	気むずかしい	爱挑剔，不好对付，板着面孔
きゅうしゅう	吸収	吸收，吸取
きゅうしゅう	九州	九州(地方)
きゅうそく	急速	讯速，急速
きょうか	強化	强化
きょうぎ	競技	体育比赛，竞赛
あれこれ		这个那个；种种
あれる	荒れる	狂暴，秩序混乱
あわ	泡	泡，泡沫
あわてる	慌てる	慌忙，着急
あわれ	哀れ	可怜；悲哀，凄惨
あんき	暗記	记住，背下来
アンテナ		天线
あんまり		太，过分；（后与否定语呼应）（不）怎么...；（不）太...。过分，过度
いいかげん		胡乱；恰当，适当
いいわけ	言い訳	分辨，辩解
いいん	委員	委员
いいんかい	委員会	委员会
いき	息	气息；呼吸
いく	幾	几，多少；许多
いけない		不能，不可以
いけばな	生け花	插花（艺术）
いじ	維持	维持，维护
いずみ	泉	源泉，泉
いずれ		哪个；反正，早晚
いたす		做，办；招致。表示自谦
イタリア		意大利
いちじ	一時	一时，暂时，某时
いちねん	一年	一年
いちぶ	一部	一部分
いちりんざし	一輪挿し	小花瓶
いっか	一家	一家，一家老小
いっこうに	一向に	完全，全然
いっしゅ	一種	一种，某种
いっせい	一斉	一齐；一同地
いっぱん	一般	一般，普通；相同
いつまでも		永远；任何时候
いちりゅう	一流	一流，头等
いびつ		压扁，变形；扭曲的，变形的
いまだ		尚，还；迄今
いままで	今まで	迄今，从前
いりくむ	入り組む	错综复杂
いろんな		各种各样的
いわかん	違和感	不谐调之感；感到不舒服
いわゆる		所谓的，所说的
いんさつ	印刷	印刷
インド		印度
インフォーマル		非正式的；非合法的
うえつける	植えつける	移植；栽培
ウエート		重量；重点，重要性
うけつける	受けつける	接受；采纳
うけみ	受け身	被动；守势
うたがう	疑う	怀疑，疑惑
うつりかわり	移り変わり	变化，变迁
うつる	写る	映现；照相
うらぎる	裏切る	辜负，出乎意料；背叛
うらづけ	裏付け	保证，证明；证据
うりきれる	売り切れる	卖完，脱销
えいえん	永遠	永远
えいこく	英国	英国
えきたい	液体	液体
えさ	餌	饵食；饲料
きょうつう	共通	共同，通用
きょうりょく	強力	强大
きょか	許可	允许，批准
きょくしょ	局所	局部
きょくせん	曲線	曲线
きらきら		闪烁，晃眼
キリストきょう	キリスト教	基督教
きりとる	切り取る	剪下，切下，割下
ぎろん	議論	议论，争论
きんぞく	金属	金属
きんだい	近代	近代，现代
きんにく	筋肉	肌肉
くうそう	空想	空想，幻想
くぎる	区切る	隔开，划分，分段
くず	屑	屑，碎片，废物
くすむ		(颜色等)不鲜艳，发暗
ぐたい	具体	具体
くだす	下す	下(决心)，降下
くむ	組む	联合，组成，把...交叉起来
くらし	暮らし	生活，生计
クリーム		奶油，雪花膏
くるう	狂う	失常，有毛病
くるしむ	苦しむ	痛苦，苦恼，苦于
くろ	黒	黑，黑色
けい	計	合计，总计
けい	系	系统，系列
けいき	景気	景气，繁荣
けいこうとう	蛍光灯	萤光灯
げかい	下界	低处，人间，下界
ケーキ		蛋糕，点心
けしょう	化粧	化妆，打扮
げざん	下山	下山
けつあつ	血圧	血压
けつえき	血液	血液
けっかん	欠陥	缺点，缺陷
けつろん	結論	结论
けん	軒	(房屋)所
けんかい	見解	见解
げんかい	限界	界限，限度
げんこう	原稿	原稿，草稿
げんこうようし	原稿用紙	稿纸
げんじつ	現実	现实
げんしょう	現象	现象
けんそん（する）	謙遜	谦逊，谦虚
けんとう	見当	推测，预计
げんば	現場	现场，车间，工地
こういう		这种，这样
こうか	效果	效果，成效
ごうか	豪華	豪华，奢华
こうきゅう	高級	高级，上等
こうきゅうしゃ	高級車	高级轿车
こうげき	攻撃	攻击，指责
こうさ	交差	交叉
こうさてん	交差点	交叉点，十字路口
こうして		这样
こうちゃ	紅茶	红茶
こうとう	高等	高等
ごうり	合理	合理
こくご	国語	国语，本国语言
こくせき	国籍	国籍
こげる	焦げる	糊，烤焦
こころえる	心得る	懂得，理解，领会
こころがまえ	心構え	精神准备，思想准备
こし	腰	腰，腰身
こたい	個体	个体
ごつい		粗糙，粗壮
こづつみ	小包	小包，邮包
ごと		每...
ことなる	異なる	不同，不一样
ことわる	断わる	拒绝，谢绝
こねる		和，揉和
このむ	好む	爱好，喜欢
コブシ		辛夷
ゴール		终点，球门
これまで		以前，以往，到此为止
ころ		以前，时期，...前后
コンクリート		混凝土
こんざつ（する）	混雑	混杂，混乱
こんせんだいち	根釧台地	根钏台地
こんらん（する）	混乱	混乱
さいこう	最高	最高
さいてい	最低	最低，最劣
サイレン		汽笛，警报器
サイロ		（储存饲料的）仓库，筒仓
さえる		（色彩）清晰，鲜明
さぎょう	作業	工作，操作
さけぶ	叫ぶ	叫，呼喊
サツキ		木本杜鹃
ささやか		细小，微小
さっさと		迅速，赶快
さっぱり		（后与否定语呼应）全然（不）
サーモスタット		恒温装置
さる	去る	离开
さんそ	酸素	氧气，氧
ジェットき	ジェット機	喷气式飞机
ジェット·パック		"小包封筒"（英语译音）
しかたない	仕方ない	没有办法
しかと		牢固，准确
しがみつく		紧紧抓住，抓住不放
じき	時期	日期，时候，季节
シグナル		信号，信号灯（机）
じこく	時刻	时刻，时候
じさぼけ	时差ぼけ	时差混乱
じしん	自身	自身，本身
しせい	姿勢	姿势，态度
しそう	思想	思想
しだい	次第	顺序，情况
したうち	舌打ち	咂嘴
したしみ	親しみ	亲密，亲切
しつ	室	室
しっく	疾駆	（车、马）疾驰，飞驰
じっこう	実行	实行
じっしゅうせい	実習生	实习生
しつど	湿度	湿度
じつに	実に	实在，的确
じつは	実は	实际上，说实在的
じどう	自動	自动
しばふ	芝生	草地，草坪
しはらう	支払う	支付
しぶき		飞溅的水花
しめる	湿る	湿，潮湿，发潮
しめる	占める	占，据有
しゃどう	車道	车（行）道
じゅう		整（个）...，全...
しゅうしょく	就職	就职，就业
じゅうたく	住宅	住宅
じゅうたん		地毯
しゅうとめ	姑	婆母，岳母
しゅうり	修理	修理，修缮
しゅだん	手段	手段，办法
しゅちよう	主張	主张
しゅっきん(する）	出勤	上班
しゅっぱん	出版	出版
じゅみょう	寿命	寿命，使用期限
しゅんかん	瞬間	瞬间
しょ	諸	诸...
じょうきょう	状況	情况，状况
しょうじ	障子	（日本式）拉门
じょうたい	状態	状态
しょうにん	承認	承认，认可
しょうひ	消费	消费，耗费
しょうぼう	消防	消防
しょうぼうふく	消防服	消防服
しょうめい	証明	证明
しょうわ	昭和	（日本年号）昭和
しょくよく	食欲	食欲
しょくりょう	食料	食品，食物，伙食费
しょせん		归根到底，反正
しょもつ	書物	书，书籍
しろ	白	白色，洁白
しろうと	素人	外行，业余爱好者
しん	真	真正，真实
しんかんせん	新幹線	新干线
